dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
telecom	CatBoostEncoder	Single	None	140	4226	0.24285714285714285	0.24285714285714285	0.26786559394226217	16	0.9203579209461562	0.7823902288188003	0.7783220858335179	2.6647253036499023	19	19	21	0.05
telecom	CatBoostEncoder	Single	None	281	4226	0.2526690391459075	0.2526690391459075	0.26786559394226217	16	0.9721151837928155	0.8211678004535148	0.7922811962512648	2.913510799407959	19	19	51	0.1
telecom	CatBoostEncoder	Single	None	704	4226	0.25	0.25	0.26786559394226217	16	0.9507839530560027	0.7711436700466351	0.7909773789918251	2.9542291164398193	19	19	28	0.25
telecom	CatBoostEncoder	Single	None	1408	4226	0.2649147727272727	0.2649147727272727	0.26786559394226217	16	0.9473990035520276	0.7625649127388258	0.7941651857807543	3.3633759021759033	19	19	31	0.5
telecom	CatBoostEncoder	Single	None	2112	4226	0.26609848484848486	0.26609848484848486	0.26786559394226217	16	0.9625114751219357	0.796838984951674	0.8173239668251101	3.6398279666900635	19	19	55	0.75
telecom	CatBoostEncoder	Single	gan	147	4226	0.24285714285714285	0.2789115646258503	0.26786559394226217	16	0.935829991087344	0.7108946608946609	0.7348377173647388	2.7197842597961426	19	19	126	0.05
telecom	CatBoostEncoder	Single	gan	309	4226	0.2526690391459075	0.32038834951456313	0.26786559394226217	16	0.9710341320072333	0.8431954887218046	0.7764859205438086	2.84492826461792	19	19	53	0.1
telecom	CatBoostEncoder	Single	gan	880	4226	0.25	0.4	0.26786559394226217	16	0.986566069551656	0.8351047163484049	0.7945499210828664	3.8594696521759033	19	19	106	0.25
telecom	CatBoostEncoder	Single	gan	2112	4226	0.2649147727272727	0.5099431818181818	0.26786559394226217	16	0.9774739758417266	0.7292480245665282	0.670671720713292	3.547983407974243	19	19	63	0.5
telecom	CatBoostEncoder	Single	gan	3696	4226	0.26609848484848486	0.5308441558441559	0.26786559394226217	16	0.9596056401070886	0.579395160858396	0.4839657458525677	4.959321975708008	19	19	205	0.75
telecom	CatBoostEncoder	Single	sample_original	147	4226	0.24285714285714285	0.2789115646258503	0.26786559394226217	16	0.9231801735845855	0.8339375901875903	0.7753863913056389	2.622987985610962	19	19	27	0.05
telecom	CatBoostEncoder	Single	sample_original	309	4226	0.2526690391459075	0.32038834951456313	0.26786559394226217	16	0.9652377185051236	0.8419611528822056	0.7942735398046143	2.9789845943450928	19	19	36	0.1
telecom	CatBoostEncoder	Single	sample_original	880	4226	0.25	0.2840909090909091	0.26786559394226217	16	0.9757579365079365	0.7878412698412698	0.7787949033921804	3.535475969314575	19	19	52	0.25
telecom	CatBoostEncoder	Single	sample_original	2112	4226	0.2649147727272727	0.2689393939393939	0.26786559394226217	16	0.9769307643413366	0.8337605791432761	0.8100511134054057	3.666048288345337	19	19	65	0.5
telecom	CatBoostEncoder	Single	sample_original	3696	4226	0.26609848484848486	0.25703463203463206	0.26786559394226217	16	0.9572892638827744	0.8329185190995373	0.8034537952174617	3.8924672603607178	19	19	57	0.75
adult	CatBoostEncoder	Single	None	976	29306	0.23668032786885246	0.23668032786885246	0.23995086330444276	8	0.9712404721251744	0.847279737255462	0.8868313280568222	2.230457067489624	14	14	46	0.05
adult	CatBoostEncoder	Single	None	1953	29306	0.24270353302611367	0.24270353302611367	0.23995086330444276	8	0.960174625363074	0.8285939436314103	0.8827378219839923	2.432476282119751	14	14	53	0.1
adult	CatBoostEncoder	Single	None	4884	29306	0.23361998361998362	0.23361998361998362	0.23995086330444276	8	0.9482754738723914	0.8366190735101722	0.8784073030913059	2.8655831813812256	14	14	71	0.25
adult	CatBoostEncoder	Single	None	9768	29306	0.23474610974610974	0.23474610974610974	0.23995086330444276	8	0.9206448457558245	0.8782990082565686	0.902996855636946	3.118391275405884	14	14	62	0.5
adult	CatBoostEncoder	Single	None	14652	29306	0.23744198744198744	0.23744198744198744	0.23995086330444276	8	0.9524850648340255	0.8764301580520678	0.9108225945747773	5.403693914413452	14	14	194	0.75
adult	CatBoostEncoder	Single	gan	1024	29306	0.23668032786885246	0.2724609375	0.23995086330444276	8	0.9622633701507809	0.8412385600976204	0.8551866259124772	2.529022455215454	14	14	84	0.05
adult	CatBoostEncoder	Single	gan	2148	29306	0.24270353302611367	0.31145251396648044	0.23995086330444276	8	0.9775502159218641	0.8808715364664044	0.8665231182420047	2.5598251819610596	14	14	65	0.1
